OTU_id	kingdom	phylum	class	order	family	genus	species	nav.cyl.b6	sem.nav.c1	sem.a1	sem.nav.c3	sem.nav.c4	nav.c5	nav.c6	triple.d1	triple.d2	sem.cyl.d3	nav.cyl.d4	nav.cyl.d5	cyl.d6	sem.cyl.a3	inoculum	sem.a4	cyl.a5	cyl.a6	triple.b1	nav.b2	sem.b3	sem.cyl.b4
100	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Mangrovimonas	yunxiaonensis	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
101	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Polaribacter	unclassified	2	0	5	1	0	0	0	2	0	0	0	0	0	15	0	1	0	0	0	0	7	0
102	Bacteria	Proteobacteria	Alphaproteobacteria	BD7-3	unclassified	unclassified	unclassified	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0
103	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Pibocella	ponti	0	1	3	1	1	0	0	0	0	1	0	0	0	0	0	8	0	0	0	0	3	0
104	Bacteria	TM7	TM7-1	unclassified	unclassified	unclassified	unclassified	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0
105	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Sulfitobacter	japonica	1	2	0	1	0	0	3	1	1	0	2	4	0	1	0	0	3	2	0	0	0	0
106	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Sulfitobacter	guttiformis	0	0	0	0	1	0	6	0	0	0	0	4	0	3	0	0	0	0	0	0	0	0
108	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Sediminicola	unclassified	0	0	6	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	1	0	1	0
109	Bacteria	Proteobacteria	Epsilonproteobacteria	Campylobacterales	Campylobacteraceae	Arcobacter	unclassified	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0
110	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Sulfitobacter	guttiformis	0	0	0	0	0	0	0	1	4	1	0	0	0	1	0	0	0	1	0	0	0	0
111	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Rhodospirillaceae	magnetite-containing	magnetic_vibrio	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0
112	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Mangrovimonas	yunxiaonensis	0	0	9	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
113	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Gaetbulibacter	marinus	0	1	2	1	3	0	0	0	0	1	0	0	0	2	0	5	0	0	0	0	1	0
114	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Pseudoruegeria	indica	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0
115	Bacteria	Proteobacteria	Alphaproteobacteria	BD7-3	unclassified	unclassified	unclassified	0	0	1	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0
116	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Marivita	unclassified	5	14	2	91	11	5	10	4	2	16	9	5	38	10	0	2	14	49	93	1	0	6
117	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Sulfitobacter	guttiformis	0	0	0	2	4	0	0	0	1	1	0	0	1	1	0	0	1	0	0	0	0	0
118	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Polaribacter	unclassified	0	0	3	0	1	0	0	0	0	1	0	0	0	2	0	1	0	0	0	0	1	0
119	Bacteria	Proteobacteria	Deltaproteobacteria	Bdellovibrionales	Bacteriovoracaceae	Bacteriovorax	unclassified	0	0	0	0	0	0	25	0	0	0	0	18	0	2	0	0	20	0	0	0	0	0
120	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Pibocella	ponti	1	0	0	1	4	0	1	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0
122	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Ulvibacter	litoralis	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0
123	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Anaplasmataceae	Ehrlichia	ruminantium	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0
124	Bacteria	Proteobacteria	Alphaproteobacteria	Kordiimonadales	Kordiimonadaceae	Kordiimonas	gwangyangensis	0	1	1	0	0	0	1	1	0	0	1	1	0	4	0	3	0	1	0	0	3	1
125	Bacteria	Lentisphaerae	[Lentisphaeria]	Lentisphaerales	Lentisphaeraceae	Lentisphaera	unclassified	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0
126	Bacteria	Proteobacteria	Deltaproteobacteria	Bdellovibrionales	Bacteriovoracaceae	Bacteriovorax	unclassified	0	0	0	0	0	0	5	0	0	0	0	0	0	3	0	0	2	0	0	0	0	0
127	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Alcaligenaceae	Pusillimonas	noertemannii	0	1	19	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0
128	Bacteria	OD1	ABY1	unclassified	unclassified	unclassified	unclassified	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0
129	Bacteria	Proteobacteria	Deltaproteobacteria	Bdellovibrionales	Bacteriovoracaceae	Bacteriovorax	unclassified	0	0	0	0	0	0	28	0	0	0	1	12	0	6	0	0	23	0	0	0	0	0
130	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Mangrovimonas	yunxiaonensis	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	3	0
131	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingosinicella	microcystinivorans	0	0	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0
132	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Mangrovimonas	yunxiaonensis	0	0	2	0	1	0	0	0	0	0	0	0	0	2	0	2	0	0	0	0	7	0
133	Bacteria	Proteobacteria	Alphaproteobacteria	BD7-3	unclassified	unclassified	unclassified	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0
134	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Phaeobacter	unclassified	0	0	4	0	0	0	0	0	0	0	0	34	1	0	0	11	0	0	0	0	0	0
135	Bacteria	GN02	3BR-5F	unclassified	unclassified	unclassified	unclassified	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
136	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Rhodospirillaceae	magnetite-containing	magnetic_vibrio	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
137	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Anaerospora	hongkongensis	0	0	1	4	0	0	0	1	0	0	1	1	0	2	0	0	0	1	0	0	0	0
138	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Sulfitobacter	guttiformis	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0
139	Bacteria	Proteobacteria	Alphaproteobacteria	Kordiimonadales	Kordiimonadaceae	unclassified	unclassified	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	1	0	0	0	0	0	0
140	Bacteria	Chloroflexi	Anaerolineae	Anaerolineales	Anaerolinaceae	Thermanaerothrix	daxensis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0
